"# menu items";"nan"
"_SITE_TITLE";"Réseau social"
"_CORE_ADMIN_STATS_USER_FRIENDSHIPS";"Nouvelles amitié"
"_CORE_ADMIN_STATS_CORE_COMMENTS";"Commentaire"
"_CORE_ADMIN_STATS_CORE_LIKES";"Goût"
"_CORE_ADMIN_STATS_CORE_REPORTS";"Rapports d'abu"
"_CORE_ADMIN_STATS_CORE_UNIQUES";"Visiteurs unique"
"_CORE_ADMIN_STATS_ACTIVITY_POSTS";"Alimenter"
"_CORE_ADMIN_STATS_AD_IMPRESSIONS";"Impressions publicitaire"
"_CORE_ADMIN_STATS_AD_CLICKS";"Clics publicitaire"
"_CORE_ADMIN_STATS_ANNOUNCEMENT_CREATIONS";"Annonce"
"_CORE_ADMIN_STATS_CORE_EMAILS";"E-mails envoyé"
"#default networks";"nan"
"Antarctica";"Antarctique"
"Australia";"Australie"
"Africa";"Afrique"
"Asia";"Asie"
"Europe";"Europe"
"South America";"Amérique du Sud"
"North America";"Amérique du Nord"
"#ads";"nan"
"CORE_VIEWS_SCRIPTS_ADMINADS_INDEX_DESCRIPTION";"L'affichage des publicités est un excellent moyen de monétiser votre réseau social. En créant des campagnes publicitaires, vous pouvez déterminer exactement où vos annonces apparaîtront, combien de temps ils seront affichés et à qui ils seront montrés. La clé pour générer des revenus substantiels de votre réseau social est de créer des campagnes publicitaires ciblées. Cela signifie que vous devez faire un effort pour afficher des annonces spécifiques aux utilisateurs en fonction de leurs intérêts ou de leurs caractéristiques personnelles (par exemple, leurs informations de profil). Pour ce faire, des campagnes publicitaires peuvent être créées pour des niveaux et / ou des réseaux d'utilisateurs spécifiques."
"Create New Campaign";"Créer une nouvelle campagne"
"You currently have no advertising campaigns.";"Vous n'avez actuellement pas de campagnes publicitaires."
"CORE_FORM_ADMINS_LAYOUT_CONTENT_PAGE_LEVELS_DESCRIPTION";"Spécifiez quels niveaux de membre pourront afficher cette page. Pour afficher cette page à tous les niveaux des membres, laissez-les tous sélectionnés. Si vous souhaitez que cette page soit cachée à aucun des membres enregistrés, assurez-vous de sélectionner désélectionner le niveau des membres publics. Utilisez Ctrl-Click pour sélectionner ou désélectionner plusieurs niveaux."
"Create Advertising Campaign";"Créer une campagne publicitaire"
"Follow this guide to design and launch a new advertising campaign.";"Suivez ce guide pour concevoir et lancer une nouvelle campagne publicitaire."
"Campaign Name";"Nom de campagne"
"Start Date";"Date de début"
"End Date";"Date de fin"
"Don't end this campaign on a specific date.";"Ne terminez pas cette campagne à une date spécifique."
"End this campaign on a specific date.";"Terminer cette campagne à une date spécifique."
"Total Views Allowed";"Les vues totales autorisée"
"The campaign will end when this number of views is reached. Enter ""0"" for unlimited views.";"La campagne se terminera lorsque ce nombre de vues sera atteinte. Entrez ""0"" pour les vues illimitées."
"Total Clicks Allowed";"Clics totaux autorisé"
"The campaign will end when this number of clicks is reached. Enter ""0"" for unlimited clicks.";"La campagne se terminera lorsque ce nombre de clics sera atteint. Entrez ""0"" pour les clics illimités."
"CORE_FORM_ADMIN_ADS_CREATE_LIMITCTR_DESCRIPTION";"Si vous spécifiez un CTR minimum (rapport click-through, qui est le rapport des clics aux vues) et le CTR de la campagne est en dessous de votre limite, la campagne se terminera. Si vous décidez de spécifier une limite CTR minimale, vous devez l'entrer en pourcentage de clics vers les vues (par exemple 0,05%). Pour créer une campagne sans fin défini, ne spécifiez pas les limites et votre campagne se poursuivra jusqu'à ce que vous choisissiez d'y mettre fin."
"CORE_FORM_ADMINS_ADS_CREATE_ADLEVELS_DESCRIPTION";"Spécifiez quels niveaux de membre seront affichés des publicités de cette campagne. Pour montrer cette campagne publicitaire à tous les niveaux des membres, laissez-les tous sélectionnés. Utilisez Ctrl-Click pour sélectionner ou désélectionner plusieurs niveaux."
"Networks";"Réseaux"
"CORE_FORM_ADMINS_ADS_CREATE_ADNETWORKS_DESCRIPTION";"Spécifiez quels réseaux seront affichés des publicités de cette campagne. Pour montrer cette campagne publicitaire à tous les réseaux, laissez-les tous sélectionnés. Utilisez Ctrl-Click pour sélectionner ou désélectionner plusieurs réseaux."
"CORE_FORM_ADMINS_ADS_CREATE_TARGETMEMBER_DESCRIPTION";"Afficher les annonces au membre de (Remarque: si vous n'avez sélectionné aucun réseau ci-dessus, les annonces seront affichées aux niveaux de membre sélectionnés ci-dessus, quelle que soit l'option sélectionnée ci-dessous et vice-versa)."
"Create Campaign";"Créer une campagne"
"Minimum CTR";"CTR minimum"
"pause";"pause"
"un-pause";"ne pas faire"
"CTR";"Ctr"
"Clicks";"Clic"
"Edit Advertising Campaign";"Modifier la campagne publicitaire"
"Manage Advertisements";"Gérer les publicité"
"Editing Ad Campaign";"Édition de campagne publicitaire"
"There are no advertisements added to this campaign.";"Aucune publicité n'est ajoutée à cette campagne."
"Add New Advertisement";"Ajouter une nouvelle publicité"
"CORE_VIEWS_SCRIPTS_ADMINADS_MANAGEADS_DESCRIPTION";"L'affichage des publicités est un excellent moyen de monétiser votre réseau social. En créant des campagnes publicitaires, vous pouvez déterminer exactement où vos annonces apparaîtront, combien de temps ils seront affichés et à qui ils seront montrés. La clé pour générer des revenus substantiels de votre réseau social est de créer des campagnes publicitaires ciblées. Cela signifie que vous devez faire un effort pour afficher des annonces spécifiques aux utilisateurs en fonction de leurs intérêts ou de leurs caractéristiques personnelles (par exemple, leurs informations de profil). Pour ce faire, des campagnes publicitaires peuvent être créées pour des niveaux et / ou des réseaux d'utilisateurs spécifiques."
"Create Advertisement";"Créer une publicité"
"Follow this guide to design and create a new advertisement.";"Suivez ce guide pour concevoir et créer une nouvelle publicité."
"preview";"prévisualisation"
"Preview";"Prévisualisation"
"HTML Code";"Code html"
"Edit HTML";"Modifier HTML"
"Edit Advertisement";"Modifier la publicité"
"CORE_FORM_ADMIN_ADS_AD_MEDIATYPE_DESCRIPTION";"Téléchargez une image de bannière à partir de votre ordinateur ou spécifiez votre code HTML publicitaire (par exemple Google Adsense). Si vous choisissez de télécharger une image, ce doit être un fichier GIF, JPG, JPEG ou PNG valide sous 200KB."
"Upload Banner Image";"Télécharger l'image de la bannière"
"Insert Banner HTML";"Insérer la bannière HTML"
"Advertisement Name";"Nom de publicité"
"Advertisement Media";"Médias publicitaire"
"CORE_VIEWS_SCRIPTS_FANCYUPLOAD_DESCRIPTION";"Ce formulaire est juste un exemple de secours pour le comportement discret de FancyUpload. Si cette pièce n'est pas modifiée, quelque chose ne va pas avec votre code."
"Upload a Photo:";"Téléchargez une photo:"
"CORE_VIEWS_SCRIPTS_FANCYUPLOAD_ADDPHOTOS";"Cliquez sur ""Ajouter des photos"" pour sélectionner une photo sur votre ordinateur. Après avoir sélectionné les photos, ils commenceront à télécharger tout de suite. Une fois votre téléchargement terminé, vous pourrez prévisualiser l'annonce."
"done";"fait"
"Advertisement Preview";"Aperçu de la publicité"
"Delete Advertisement";"Supprimer la publicité"
"Are you sure you want to delete this advertisement?";"Êtes-vous sûr de vouloir supprimer cette publicité?"
"Delete Ad";"Supprimer l'annonce"
"Advertisement Edited.";"Publicité modifiée."
"Ad Campaign Deleted";"Campagne publicitaire supprimée"
"Advertisement Deleted.";"Publicité supprimée."
"Max file size limit exceeded (probably).";"Limite de taille de fichier maximale dépassée (probablement)."
"Invalid request method";"Méthode de demande non valide"
"No file";"Pas de fichier"
"Invalid Upload";"Téléchargement non valide"
"Your changes have been saved.";"Vos modifications ont été enregistrées."
"ITEM_TYPE_CORE_PAGE";"Page"
" - All unsaved changes to pages or widgets will be lost - ";"- Toutes les modifications non sauvées des pages ou des widgets seront perdues -"
"Any unsaved changes will be lost. Are you sure you want to leave this page?";"Tout changement non sauvé sera perdu. Êtes-vous sûr de vouloir quitter cette page?"
"Your changes to this page have been saved.";"Vos modifications apportées à cette page ont été enregistrées."
"The selected layout change will cause %s areas containing widgets to be destroyed. Are you sure you want to continue?";"Le changement de disposition sélectionné entraînera la détruire des zones %s contenant des widgets. Êtes-vous sûr de vouloir continuer?"
"Tabbed Blocks";"Blocs d'onglet"
"Give your new page a unique name. This will appear in the list of pages in the ""Open Page"" tab.";"Donnez à votre nouvelle page un nom unique. Cela apparaîtra dans la liste des pages dans l'onglet ""Open Page""."
"Page Name";"Nom de page"
"Create Page";"Créer une page"
"New Page";"Nouvelle page"
"Open Page";"Page ouverte"
"and keep your current layout.";"Et gardez votre disposition actuelle."
"Edit Columns";"Modifier les colonne"
"hide on this page";"se cacher sur cette page"
"show on this page";"Afficher sur cette page"
"Main Content Area";"Zone de contenu principale"
"Available Blocks";"Blocs disponible"
"Drop things here to add them to the global footer.";"Déposez les choses ici pour les ajouter au pied de page mondial."
"Changes made to this form will not be saved.  Please adjust the permissions (CHMOD) of file %s to 777 and try again.";"Les modifications apportées à ce formulaire ne seront pas enregistrées.  Veuillez ajuster les autorisations (CHMOD) du fichier %s à 777 et réessayer."
"Select a new column layout for this page.";"Sélectionnez une nouvelle disposition de colonne pour cette page."
"Edit Page Info";"Modifier les informations sur la page"
"Page Title <span>(title tag)</span>";"Titre de la page <span> (Titre Tag) </span>"
"Page Keywords <span>(meta tag)</span>";"Page Mots-clés <span> (Meta Tag) </span>"
"Page Description <span>(meta tag)</span>";"Description de la page <span> (méta-balise) </span>"
"Page URL";"URL de la page"
"Page Name <span>(for your reference only)</span>";"Nom de la page <span> (pour votre référence uniquement) </span>"
"The URL may only contain alphanumeric characters and dashes - any other characters will be stripped. The full url will be http://www.yoursite.com/pages/[url]";"L'URL ne peut contenir que des caractères et des tirets alphanumériques - tous les autres caractères seront éliminés. L'URL complète sera http://www.yoursite.com/pages/[url]"
"Error: no values";"Erreur: pas de valeur"
"Global Footer";"Pied de page mondial"
"Missing theme";"Thème manquant"
"Not in theme files";"Pas dans les fichiers de thème"
"Not writeable";"Non inscrit"
"Could not create backup";"Impossible de créer une sauvegarde"
"Could not save contents";"Impossible d'économiser le contenu"
"Bad params";"Mauvais paramètre"
"Please select the type of log you wish to view from the filter above.";"Veuillez sélectionner le type de journal que vous souhaitez afficher dans le filtre ci-dessus."
"Language Manager";"Gestionnaire de langue"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_EDIT_DESCRIPTION";"Les phrases linguistiques de ce pack sont présentées ci-dessous. Si vous recherchez une phrase spécifique, utilisez la zone de recherche ci-dessous pour la trouver. Assurez-vous de cliquer sur ""Enregistrer les modifications"" avant de passer à la page suivante des phrases si vous souhaitez conserver vos modifications. Bénéaire chaque phrase, vous verrez la phrase originale pour votre référence. Ceci est utile si vous avez perdu ou supprimé accidentellement une phrase. Certaines phrases sont sous forme plurielle - vous verrez des exemples de nombres utilisés pour ces phrases en italique."
"This phrase is pluralized. Example values:";"Cette phrase est pluralisée. Exemples de valeurs:"
"When you've finished editing this language pack, you can return to the %s.";"Lorsque vous avez terminé de modifier ce pack de langues, vous pouvez revenir au %s."
"Previous Page";"Page précédente"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_INDEX_DESCRIPTION";"La disposition de votre communauté comprend des centaines de phrases de texte qui sont stockées dans un pack de langues. Si vous souhaitez modifier l'une de ces phrases, vous pouvez modifier un pack de langues ci-dessous. Si vous souhaitez permettre à vos membres de choisir parmi plusieurs langues, vous pouvez également créer ou importer des packs supplémentaires. Si vous avez plusieurs packs installés, le pack que vous avez marqué en tant que ""par défaut"" sera le langage qui s'affiche si un membre n'a pas spécifié sa langue de choix."
"Upload New Pack";"Télécharger un nouveau pack"
"Create New Pack";"Créer un nouveau pack"
"edit phrases";"Modifier les phrase"
"export";"exporter"
"default";"défaut"
"Delete Report?";"Supprimer le rapport?"
"Are you sure that you want to delete this report? It will not be recoverable after being deleted.";"Êtes-vous sûr que vous souhaitez supprimer ce rapport? Il ne sera pas récupérable après avoir été supprimé."
"Delete the selected reports?";"Supprimer les rapports sélectionnés?"
"Are you sure that you want to delete this %d report? It will not be recoverable after being deleted.";"Êtes-vous sûr que vous souhaitez supprimer ce rapport %d? Il ne sera pas récupérable après avoir été supprimé.";"Are you sure that you want to delete the %d reports? They will not be recoverable after being deleted."
"Abuse Reports";"Rapports d'abu"
"This page lists all of the reports your users have sent in regarding inappropriate content, system abuse, spam, and so forth. You can use the search field to look for reports that contain a particular word or phrase. Very old reports are periodically deleted by the system.";"Cette page répertorie tous les rapports que vos utilisateurs ont envoyés concernant le contenu inapproprié, l'abus de systèmes, le spam, etc. Vous pouvez utiliser le champ de recherche pour rechercher des rapports contenant un mot ou une phrase en particulier. De très vieux rapports sont périodiquement supprimés par le système."
"Dismiss Selected";"Rejeter sélectionné"
"There are currently no outstanding abuse reports.";"Il n'y a actuellement aucun rapport d'abus exceptionnel."
"Content Type";"Type de contenu"
"Site-wide Statistics";"Statistiques à l'échelle du site"
"CORE_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Restez connecté au pouls de votre communauté en observant vos statistiques à l'échelle du site. Les filtres ci-dessous vous permettent d'observer diverses mesures et leur changement sur différentes périodes."
"Top Referring Sites";"Sites référendant"
"CORE_VIEWS_SCRIPTS_ADMINSTATS_REFERRERS_DESCRIPTION";"Ce sont les 100 URL de référence les plus courantes suivis de votre page d'accueil. Cela indique d'où vient la majeure partie de votre nouveau trafic. Effacer périodiquement la liste vous fournira de nouvelles données de références."
"Are you sure you want to clear the referrers?";"Êtes-vous sûr de vouloir effacer les références?"
"Hits";"Tube"
"Referring URL";"URL de référence"
"There have not been any referrers logged yet.";"Il n'y a pas encore eu de références enregistrées."
"CORE_VIEWS_SCRIPTS_ADMINSYSTEM_LOG_DESCRIPTION";"Les journaux système sont utiles pour le dépannage et le débogage. Sélectionnez le journal que vous souhaitez afficher ci-dessous."
"Empty Log";"Bûche vide"
"Error log";"Journal d'erreur"
"Language log";"Journal des langue"
"Video encoding log";"Journal d'encodage vidéo"
"Show %s Line";"Afficher la ligne %";"Show %s Lines"
"Show 100 Lines";"Montrer 100 ligne"
"Show 1000 Lines";"Afficher 1000 ligne"
"Show 5000 Lines";"Afficher 5000 ligne"
"Show 10000 Lines";"Afficher 10000 ligne"
"Show 50000 Lines";"Afficher 50000 ligne"
"View Log";"Afficher le journal"
"Are you sure you want to empty the %s";"Êtes-vous sûr de vouloir vider le %"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_DESCRIPTION";"Personnalisez l'apparence globale de votre communauté en modifiant votre thème actuel ou en choisissant un nouveau. Les thèmes sont composés de fichiers CSS, que vous pouvez modifier directement ici ou via FTP sur votre serveur. Si vous souhaitez apporter des modifications personnalisées ici, sélectionnez le fichier CSS que vous souhaitez modifier dans le menu déroulant ci-dessous. Si vous préférez simplement choisir un thème entièrement différent, utilisez le sélecteur de thème en bas. Personnalisez l'apparence globale de votre communauté en modifiant votre thème actuel ou en choisissant un nouveau. Votre thème se compose de plusieurs fichiers CSS. Si vous souhaitez apporter des modifications personnalisées à ces fichiers, sélectionnez celui que vous souhaitez modifier dans le traction ci-dessous. Si vous préférez simplement choisir un thème entièrement différent, utilisez le sélecteur de thème en bas."
"If you leave the page now, your changes will be lost. Are you sure you want to continue?";"Si vous quittez la page maintenant, vos modifications seront perdues. Êtes-vous sûr de vouloir continuer?"
"Your changes have been saved!";"Vos modifications ont été enregistrées!"
"An error has occurred. Changes could NOT be saved.";"Une erreur s'est produite. Les changements n'ont pas pu être sauvés."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMEFILE";"Êtes-vous sûr que vous souhaitez retourner toutes les modifications que vous avez apportées à ce thème? Si oui, le thème original sera restauré immédiatement et vos modifications perdues. Si vous souhaitez sauvegarder vos modifications, exportez-la d'abord vers votre ordinateur."
"Edit your current theme:";"Modifiez votre thème actuel:"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_STYLESHEETSPERMISSION";"Les feuilles de style de votre thème actuel ne sont pas écrivains. Veuillez définir des autorisations complètes récursivement (CHMOD -R 0777) sur ""Application / Themes /%1$s"" et réessayer."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMECHANGES";"Êtes-vous sûr que vous souhaitez retourner toutes les modifications que vous avez apportées à ce thème? Si oui, le thème original sera restauré immédiatement et vos modifications perdues. Si vous souhaitez sauvegarder vos modifications, exportez-la d'abord vers votre ordinateur."
"Upload Theme";"Télécharger le thème"
"Quick Links";"Liens rapide"
"Quick Start";"Démarrage rapide"
"View Members";"Voir les membre"
"View Abuse Reports";"Voir les rapports d'abu"
"Manage Plugins";"Gérer les plugin"
"Edit Site Layout";"Modifier la disposition du site"
"Edit Site Theme";"Modifier le thème du site"
"View Statistics";"Afficher les statistique"
"Get More Plugins";"Obtenez plus de plugin"
"Get More Themes";"Obtenez plus de thème"
"SocialEngine Control Panel";"Panneau de commande socialengine"
"You're signed-in as %s";"Vous êtes connecté comme %"
"back to network";"Retour au réseau"
"sign out";"se déconnecter"
"News & Updates";"Nouvelles et mises à jour"
"More SE News";"Plus de nouvelles SE"
"Select Language: ";"Sélectionner la langue:"
"#locale";"nan"
"US/Pacific";"États-Unis / Pacifique"
"(UTC-8) Pacific Time (US & Canada)";"(UTC-8) Pacific Time (États-Unis et Canada)"
"US/Mountain";"États-Unis / montagne"
"(UTC-7) Mountain Time (US & Canada)";"(UTC-7) Mountain Time (États-Unis et Canada)"
"US/Central";"États-Unis / Central"
"(UTC-6) Central Time (US & Canada)";"(UTC-6) Heure centrale (États-Unis et Canada)"
"US/Eastern";"États-Unis / oriental"
"(UTC-5) Eastern Time (US & Canada)";"(UTC-5) Temps oriental (États-Unis et Canada)"
"America/Halifax";"Amérique / Halifax"
"(UTC-4)  Atlantic Time (Canada)";"(UTC-4) Atlantic Time (Canada)"

"America/Anchorage";"Amérique / Anchorage"
"(UTC-9)  Alaska (US & Canada)";"(UTC-9) Alaska (États-Unis et Canada)"
"Pacific/Honolulu";"Pacifique / Honolulu"
"(UTC-10) Hawaii (US)";"(UTC-10) Hawaï (États-Unis)"
"Pacific/Samoa";"Pacifique / Samoa"
"(UTC-11) Midway Island, Samoa";"(UTC-11) Midway Island, Samoa"
"Etc/GMT-12";"Etc / gmt-12"
"(UTC-12) Eniwetok, Kwajalein";"(UTC-12) Eniwetok, Kwajalein"
"Canada/Newfoundland";"Canada / Terre-Neuve"
"(UTC-3:30) Canada/Newfoundland";"(UTC-3: 30) Canada / Terre-Neuve"
"America/Buenos_Aires";"Amérique / Buenos_aire"
"(UTC-3) Brasilia, Buenos Aires, Georgetown";"(UTC-3) Brasilia, Buenos Aires, Georgetown"
"Atlantic/South_Georgia";"Atlantique / South_Georgia"
"(UTC-2) Mid-Atlantic";"(UTC-2) Mid-Atlantic"
"Atlantic/Azores";"Atlantique / Açore"
